"","Subject","Age","Year","Sex","Session","Scorer","Scores"
"1",1,22,1,"1","Session1","Scorer1",18
"2",1,22,1,"1","Session2","Scorer1",22
"3",1,22,1,"1","Session3","Scorer1",23
"4",1,22,1,"1","Session4","Scorer1",22
"5",1,22,1,"1","Session5","Scorer1",22
"6",2,23,1,"1","Session1","Scorer1",17
"7",2,23,1,"1","Session2","Scorer1",19
"8",2,23,1,"1","Session3","Scorer1",22
"9",2,23,1,"1","Session4","Scorer1",23
"10",2,23,1,"1","Session5","Scorer1",24
"11",3,23,1,"1","Session1","Scorer1",19
"12",3,23,1,"1","Session2","Scorer1",22
"13",3,23,1,"1","Session3","Scorer1",24
"14",3,23,1,"1","Session4","Scorer1",24
"15",3,23,1,"1","Session5","Scorer1",25
"16",4,23,1,"1","Session1","Scorer1",14
"17",4,23,1,"1","Session2","Scorer1",14
"18",4,23,1,"1","Session3","Scorer1",15
"19",4,23,1,"1","Session4","Scorer1",14
"20",4,23,1,"1","Session5","Scorer1",15
"21",7,25,3,"1","Session1","Scorer1",23
"22",7,25,3,"1","Session2","Scorer1",28
"23",7,25,3,"1","Session3","Scorer1",29
"24",7,25,3,"1","Session4","Scorer1",28
"25",7,25,3,"1","Session5","Scorer1",25
"26",8,22,1,"1","Session1","Scorer1",19
"27",8,22,1,"1","Session2","Scorer1",22
"28",8,22,1,"1","Session3","Scorer1",24
"29",8,22,1,"1","Session4","Scorer1",28
"30",8,22,1,"1","Session5","Scorer1",27
"31",10,24,2,"1","Session1","Scorer1",14
"32",10,24,2,"1","Session2","Scorer1",16
"33",10,24,2,"1","Session3","Scorer1",18
"34",10,24,2,"1","Session4","Scorer1",19
"35",10,24,2,"1","Session5","Scorer1",18
"36",11,22,1,"1","Session1","Scorer1",11
"37",11,22,1,"1","Session2","Scorer1",14
"38",11,22,1,"1","Session3","Scorer1",15
"39",11,22,1,"1","Session4","Scorer1",13
"40",11,22,1,"1","Session5","Scorer1",16
"41",12,23,1,"1","Session1","Scorer1",15
"42",12,23,1,"1","Session2","Scorer1",18
"43",12,23,1,"1","Session3","Scorer1",23
"44",12,23,1,"1","Session4","Scorer1",27
"45",12,23,1,"1","Session5","Scorer1",28
"46",13,22,1,"1","Session1","Scorer1",18
"47",13,22,1,"1","Session2","Scorer1",17
"48",13,22,1,"1","Session3","Scorer1",25
"49",13,22,1,"1","Session4","Scorer1",25
"50",13,22,1,"1","Session5","Scorer1",29
"51",19,23,1,"2","Session1","Scorer1",19
"52",19,23,1,"2","Session2","Scorer1",23
"53",19,23,1,"2","Session3","Scorer1",24
"54",19,23,1,"2","Session4","Scorer1",27
"55",19,23,1,"2","Session5","Scorer1",27
"56",21,22,1,"2","Session1","Scorer1",20
"57",21,22,1,"2","Session2","Scorer1",24
"58",21,22,1,"2","Session3","Scorer1",26
"59",21,22,1,"2","Session4","Scorer1",28
"60",21,22,1,"2","Session5","Scorer1",25
"61",22,26,2,"2","Session1","Scorer1",16
"62",22,26,2,"2","Session2","Scorer1",22
"63",22,26,2,"2","Session3","Scorer1",23
"64",22,26,2,"2","Session4","Scorer1",26
