Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP,Time
1,22,1,Male,Session1,Scorer1,Cutting,18,-1.59794E-05,0.007539787,595
1,22,1,Male,Session2,Scorer1,Cutting,22,0.001147167,0.008702933,359
1,22,1,Male,Session3,Scorer1,Cutting,23,-0.000858981,0.006696785,487
1,22,1,Male,Session4,Scorer1,Cutting,22,NA,NA,153
1,22,1,Male,Session5,Scorer1,Cutting,22,NA,NA,245
2,23,1,Male,Session1,Scorer1,Cutting,17,-0.005921682,0.001634084,405
2,23,1,Male,Session2,Scorer1,Cutting,19,-0.006055766,0.0015,255
2,23,1,Male,Session3,Scorer1,Cutting,22,0.001058339,0.008614105,305
2,23,1,Male,Session4,Scorer1,Cutting,23,6.71667E-05,0.007622933,200
2,23,1,Male,Session5,Scorer1,Cutting,24,-0.000573203,0.006982563,265
3,23,1,Male,Session1,Scorer1,Cutting,19,-0.001787928,0.005767838,615
3,23,1,Male,Session2,Scorer1,Cutting,22,NA,NA,470
3,23,1,Male,Session3,Scorer1,Cutting,24,8.62092E-05,0.007641975,260
3,23,1,Male,Session4,Scorer1,Cutting,24,0.002987119,0.010542885,225
3,23,1,Male,Session5,Scorer1,Cutting,25,0.000534693,0.008090459,195
4,23,1,Male,Session1,Scorer1,Cutting,14,0.000156012,0.007711778,190
4,23,1,Male,Session2,Scorer1,Cutting,14,0.000615403,0.008171168,180
4,23,1,Male,Session3,Scorer1,Cutting,15,0.000118416,0.007674182,130
4,23,1,Male,Session4,Scorer1,Cutting,14,9.15649E-05,0.007647331,135
4,23,1,Male,Session5,Scorer1,Cutting,15,0.000641786,0.008197552,115
7,25,3,Male,Session1,Scorer1,Cutting,23,-0.001695923,0.005859843,450
7,25,3,Male,Session2,Scorer1,Cutting,28,0.000567953,0.008123719,285
7,25,3,Male,Session3,Scorer1,Cutting,29,0.000727105,0.008282871,180
7,25,3,Male,Session4,Scorer1,Cutting,28,-0.002204906,0.00535086,170
7,25,3,Male,Session5,Scorer1,Cutting,25,0.000231966,0.007787732,180
8,22,1,Male,Session1,Scorer1,Cutting,19,NA,NA,360
8,22,1,Male,Session2,Scorer1,Cutting,22,-0.002510187,0.005045579,240
8,22,1,Male,Session3,Scorer1,Cutting,24,-0.002167739,0.005388027,275
8,22,1,Male,Session4,Scorer1,Cutting,28,0.000215657,0.007771423,265
8,22,1,Male,Session5,Scorer1,Cutting,27,-0.000212902,0.007342864,270
10,24,2,Male,Session1,Scorer1,Cutting,14,-0.001006518,0.006549248,380
10,24,2,Male,Session2,Scorer1,Cutting,16,NA,NA,185
10,24,2,Male,Session3,Scorer1,Cutting,18,0.00131314,0.008868906,170
10,24,2,Male,Session4,Scorer1,Cutting,19,0.000375303,0.007931069,135
10,24,2,Male,Session5,Scorer1,Cutting,18,NA,NA,135
11,22,1,Male,Session1,Scorer1,Cutting,11,-0.001372228,0.006183538,235
11,22,1,Male,Session2,Scorer1,Cutting,14,-0.001854004,0.005701762,190
11,22,1,Male,Session3,Scorer1,Cutting,15,0.002746713,0.010302478,125
11,22,1,Male,Session4,Scorer1,Cutting,13,0.002357718,0.009913484,180
11,22,1,Male,Session5,Scorer1,Cutting,16,0.001173404,0.00872917,80
12,23,1,Male,Session1,Scorer1,Cutting,15,9.94861E-05,0.007655252,480
12,23,1,Male,Session2,Scorer1,Cutting,18,0.001263367,0.008819133,270
12,23,1,Male,Session3,Scorer1,Cutting,23,0.002280952,0.009836718,330
12,23,1,Male,Session4,Scorer1,Cutting,27,0.002655464,0.01021123,200
12,23,1,Male,Session5,Scorer1,Cutting,28,0.003040255,0.010596021,150
13,22,1,Male,Session1,Scorer1,Cutting,18,0.000337011,0.007892777,250
13,22,1,Male,Session2,Scorer1,Cutting,17,-0.000357259,0.007198507,115
13,22,1,Male,Session3,Scorer1,Cutting,25,3.00427E-05,0.007585809,105
13,22,1,Male,Session4,Scorer1,Cutting,25,-0.000667841,0.006887925,90
13,22,1,Male,Session5,Scorer1,Cutting,29,-0.000922061,0.006633705,105
19,23,1,Female,Session1,Scorer1,Cutting,19,NA,NA,195
19,23,1,Female,Session2,Scorer1,Cutting,23,0.000708714,0.00826448,150
19,23,1,Female,Session3,Scorer1,Cutting,24,0.000513184,0.00806895,170
19,23,1,Female,Session4,Scorer1,Cutting,27,0.000912617,0.008468383,145
19,23,1,Female,Session5,Scorer1,Cutting,27,0.001504098,0.009059864,140
21,22,1,Female,Session1,Scorer1,Cutting,20,0.000770346,0.008326112,375
21,22,1,Female,Session2,Scorer1,Cutting,24,-0.000216196,0.00733957,330
21,22,1,Female,Session3,Scorer1,Cutting,26,-0.000568409,0.006987357,115
21,22,1,Female,Session4,Scorer1,Cutting,28,0.000867734,0.0084235,110
21,22,1,Female,Session5,Scorer1,Cutting,25,0.002958445,0.010514211,100
22,26,2,Female,Session1,Scorer1,Cutting,16,0.001730125,0.009285891,370
22,26,2,Female,Session2,Scorer1,Cutting,22,0.002196792,0.009752558,190
22,26,2,Female,Session3,Scorer1,Cutting,23,0.001265183,0.008820949,270
22,26,2,Female,Session4,Scorer1,Cutting,26,0.000509536,0.008065302,265
22,26,2,Female,Session5,Scorer1,Cutting,26,-5.37751E-06,0.007550388,210
24,25,3,Female,Session1,Scorer1,Cutting,17,-0.002541608,0.005014158,350
24,25,3,Female,Session2,Scorer1,Cutting,25,-0.001528961,0.006026805,185
24,25,3,Female,Session3,Scorer1,Cutting,25,0.001050479,0.008606245,320
24,25,3,Female,Session4,Scorer1,Cutting,25,0.001740522,0.009296288,410
24,25,3,Female,Session5,Scorer1,Cutting,22,0.000850373,0.008406139,495
26,22,1,Female,Session1,Scorer1,Cutting,10,-0.000638905,0.006916861,600
26,22,1,Female,Session2,Scorer1,Cutting,24,9.24911E-05,0.007648257,150
26,22,1,Female,Session3,Scorer1,Cutting,27,0.00056395,0.008119715,270
26,22,1,Female,Session4,Scorer1,Cutting,27,-0.000409321,0.007146445,75
26,22,1,Female,Session5,Scorer1,Cutting,26,0.000781028,0.008336794,130
1,22,1,Male,Session1,Scorer1,Suturing,13,0.00041444,0.007970206,1200
1,22,1,Male,Session2,Scorer1,Suturing,15,0.00085854,0.008414306,1200
1,22,1,Male,Session3,Scorer1,Suturing,16,0.000185969,0.007741735,1200
1,22,1,Male,Session4,Scorer1,Suturing,17,NA,NA,1200
1,22,1,Male,Session5,Scorer1,Suturing,15,NA,NA,1200
2,23,1,Male,Session1,Scorer1,Suturing,15,-0.005634191,0.001921575,1200
2,23,1,Male,Session2,Scorer1,Suturing,16,-0.004840203,0.002715563,1200
2,23,1,Male,Session3,Scorer1,Suturing,16,0.000272413,0.007828179,1200
2,23,1,Male,Session4,Scorer1,Suturing,19,-0.000696164,0.006859602,1200
2,23,1,Male,Session5,Scorer1,Suturing,20,-0.00081158,0.006744186,1150
3,23,1,Male,Session1,Scorer1,Suturing,18,-0.001502171,0.006053595,1200
3,23,1,Male,Session2,Scorer1,Suturing,20,NA,NA,1200
3,23,1,Male,Session3,Scorer1,Suturing,25,0.001176573,0.008732338,905
3,23,1,Male,Session4,Scorer1,Suturing,24,0.002526015,0.010081781,925
3,23,1,Male,Session5,Scorer1,Suturing,23,-0.000217822,0.007337944,1090
4,23,1,Male,Session1,Scorer1,Suturing,12,0.000990617,0.008546383,1200
4,23,1,Male,Session2,Scorer1,Suturing,18,5.95207E-05,0.007615287,1200
4,23,1,Male,Session3,Scorer1,Suturing,19,-0.001289909,0.006265857,1200
4,23,1,Male,Session4,Scorer1,Suturing,22,0.000241088,0.007796853,1050
4,23,1,Male,Session5,Scorer1,Suturing,22,0.000567027,0.008122793,965
7,25,3,Male,Session1,Scorer1,Suturing,22,-8.62265E-05,0.007469539,1200
7,25,3,Male,Session2,Scorer1,Suturing,25,-4.47916E-06,0.007551287,985
7,25,3,Male,Session3,Scorer1,Suturing,27,0.016190243,0.023746009,980
7,25,3,Male,Session4,Scorer1,Suturing,29,-0.000497204,0.007058562,730
7,25,3,Male,Session5,Scorer1,Suturing,23,0.000846084,0.00840185,1030
8,22,1,Male,Session1,Scorer1,Suturing,9,NA,NA,1200
8,22,1,Male,Session2,Scorer1,Suturing,21,-0.002098909,0.005456857,1200
8,22,1,Male,Session3,Scorer1,Suturing,22,-0.000871458,0.006684308,1200
8,22,1,Male,Session4,Scorer1,Suturing,28,0.000212254,0.00776802,715
8,22,1,Male,Session5,Scorer1,Suturing,27,-0.000955869,0.006599897,1085
10,24,2,Male,Session1,Scorer1,Suturing,10,-0.000388136,0.00716763,1200
10,24,2,Male,Session2,Scorer1,Suturing,12,NA,NA,1200
10,24,2,Male,Session3,Scorer1,Suturing,13,0.000674917,0.008230683,1200
10,24,2,Male,Session4,Scorer1,Suturing,14,0.000794676,0.008350442,1115
10,24,2,Male,Session5,Scorer1,Suturing,15,NA,NA,850
11,22,1,Male,Session1,Scorer1,Suturing,14,-0.000564729,0.006991037,1200
11,22,1,Male,Session2,Scorer1,Suturing,17,-0.001358432,0.006197334,1200
11,22,1,Male,Session3,Scorer1,Suturing,18,0.001632317,0.009188083,1199
11,22,1,Male,Session4,Scorer1,Suturing,20,0.000992751,0.008548516,1200
11,22,1,Male,Session5,Scorer1,Suturing,23,0.001036241,0.008592007,1140
12,23,1,Male,Session1,Scorer1,Suturing,11,0.000647747,0.008203513,1200
12,23,1,Male,Session2,Scorer1,Suturing,15,0.000581202,0.008136968,1200
12,23,1,Male,Session3,Scorer1,Suturing,18,0.002340688,0.009896454,1200
12,23,1,Male,Session4,Scorer1,Suturing,20,0.002211148,0.009766913,1185
12,23,1,Male,Session5,Scorer1,Suturing,24,0.001114447,0.008670213,1200
13,22,1,Male,Session1,Scorer1,Suturing,13,0.000380757,0.007936523,1200
13,22,1,Male,Session2,Scorer1,Suturing,16,0.000228226,0.007783992,1200
13,22,1,Male,Session3,Scorer1,Suturing,19,-0.000383011,0.007172755,1200
13,22,1,Male,Session4,Scorer1,Suturing,17,-0.000206637,0.007349129,1200
13,22,1,Male,Session5,Scorer1,Suturing,19,2.95511E-05,0.007585317,1200
19,23,1,Female,Session1,Scorer1,Suturing,12,NA,NA,1200
19,23,1,Female,Session2,Scorer1,Suturing,22,-0.000614011,0.006941755,1070
19,23,1,Female,Session3,Scorer1,Suturing,23,-0.000869574,0.006686192,870
19,23,1,Female,Session4,Scorer1,Suturing,25,0.001520901,0.009076667,730
19,23,1,Female,Session5,Scorer1,Suturing,27,0.001417039,0.008972805,775
21,22,1,Female,Session1,Scorer1,Suturing,13,0.000933202,0.008488968,1200
21,22,1,Female,Session2,Scorer1,Suturing,17,-0.001159026,0.00639674,1200
21,22,1,Female,Session3,Scorer1,Suturing,18,0.001956897,0.009512663,1200
21,22,1,Female,Session4,Scorer1,Suturing,24,0.004036705,0.011592471,1200
21,22,1,Female,Session5,Scorer1,Suturing,25,0.005111483,0.012667249,1115
22,26,2,Female,Session1,Scorer1,Suturing,16,0.00376329,0.011319056,1200
22,26,2,Female,Session2,Scorer1,Suturing,23,0.002940349,0.010496115,1195
22,26,2,Female,Session3,Scorer1,Suturing,23,0.001118991,0.008674756,1155
22,26,2,Female,Session4,Scorer1,Suturing,24,0.001095778,0.008651544,1195
22,26,2,Female,Session5,Scorer1,Suturing,26,0.000767989,0.008323755,1160
24,25,3,Female,Session1,Scorer1,Suturing,21,-0.002538857,0.005016909,1155
24,25,3,Female,Session2,Scorer1,Suturing,22,-0.001865391,0.005690375,1190
24,25,3,Female,Session3,Scorer1,Suturing,24,0.001526848,0.009082614,1090
24,25,3,Female,Session4,Scorer1,Suturing,23,0.00264187,0.010197636,1195
24,25,3,Female,Session5,Scorer1,Suturing,23,7.93638E-05,0.00763513,1180
26,22,1,Female,Session1,Scorer1,Suturing,15,-0.000367012,0.007188754,1200
26,22,1,Female,Session2,Scorer1,Suturing,24,0.000613241,0.008169007,1085
26,22,1,Female,Session3,Scorer1,Suturing,23,0.000512593,0.008068359,1185
26,22,1,Female,Session4,Scorer1,Suturing,25,-0.000114624,0.007441141,865
26,22,1,Female,Session5,Scorer1,Suturing,27,0.000697178,0.008252944,755
1,22,1,Male,Session1,Scorer2,Cutting,20,-1.59794E-05,0.007539787,595
1,22,1,Male,Session2,Scorer2,Cutting,18,0.001147167,0.008702933,359
1,22,1,Male,Session3,Scorer2,Cutting,23,-0.000858981,0.006696785,487
1,22,1,Male,Session4,Scorer2,Cutting,23,NA,NA,153
1,22,1,Male,Session5,Scorer2,Cutting,23,NA,NA,245
2,23,1,Male,Session1,Scorer2,Cutting,19,-0.005921682,0.001634084,405
2,23,1,Male,Session2,Scorer2,Cutting,20,-0.006055766,0.0015,255
2,23,1,Male,Session3,Scorer2,Cutting,23,0.001058339,0.008614105,305
2,23,1,Male,Session4,Scorer2,Cutting,21,6.71667E-05,0.007622933,200
2,23,1,Male,Session5,Scorer2,Cutting,22,-0.000573203,0.006982563,265
3,23,1,Male,Session1,Scorer2,Cutting,17,-0.001787928,0.005767838,615
3,23,1,Male,Session2,Scorer2,Cutting,23,NA,NA,470
3,23,1,Male,Session3,Scorer2,Cutting,26,8.62092E-05,0.007641975,260
3,23,1,Male,Session4,Scorer2,Cutting,25,0.002987119,0.010542885,225
3,23,1,Male,Session5,Scorer2,Cutting,24,0.000534693,0.008090459,195
4,23,1,Male,Session1,Scorer2,Cutting,12,0.000156012,0.007711778,190
4,23,1,Male,Session2,Scorer2,Cutting,12,0.000615403,0.008171168,180
4,23,1,Male,Session3,Scorer2,Cutting,14,0.000118416,0.007674182,130
4,23,1,Male,Session4,Scorer2,Cutting,15,9.15649E-05,0.007647331,135
4,23,1,Male,Session5,Scorer2,Cutting,19,0.000641786,0.008197552,115
7,25,3,Male,Session1,Scorer2,Cutting,25,-0.001695923,0.005859843,450
7,25,3,Male,Session2,Scorer2,Cutting,24,0.000567953,0.008123719,285
