"","Subject","Age","Year","Sex","Session","Scorer","Scores"
"1",1,22,1,"1","Session1","Scorer1",13
"2",1,22,1,"1","Session2","Scorer1",15
"3",1,22,1,"1","Session3","Scorer1",16
"4",1,22,1,"1","Session4","Scorer1",17
"5",1,22,1,"1","Session5","Scorer1",15
"6",2,23,1,"1","Session1","Scorer1",15
"7",2,23,1,"1","Session2","Scorer1",16
"8",2,23,1,"1","Session3","Scorer1",16
"9",2,23,1,"1","Session4","Scorer1",19
"10",2,23,1,"1","Session5","Scorer1",20
"11",3,23,1,"1","Session1","Scorer1",18
"12",3,23,1,"1","Session2","Scorer1",20
"13",3,23,1,"1","Session3","Scorer1",25
"14",3,23,1,"1","Session4","Scorer1",24
"15",3,23,1,"1","Session5","Scorer1",23
"16",4,23,1,"1","Session1","Scorer1",12
"17",4,23,1,"1","Session2","Scorer1",18
"18",4,23,1,"1","Session3","Scorer1",19
"19",4,23,1,"1","Session4","Scorer1",22
"20",4,23,1,"1","Session5","Scorer1",22
"21",7,25,3,"1","Session1","Scorer1",22
"22",7,25,3,"1","Session2","Scorer1",25
"23",7,25,3,"1","Session3","Scorer1",27
"24",7,25,3,"1","Session4","Scorer1",29
"25",7,25,3,"1","Session5","Scorer1",23
"26",8,22,1,"1","Session1","Scorer1",9
"27",8,22,1,"1","Session2","Scorer1",21
"28",8,22,1,"1","Session3","Scorer1",22
"29",8,22,1,"1","Session4","Scorer1",28
"30",8,22,1,"1","Session5","Scorer1",27
"31",10,24,2,"1","Session1","Scorer1",10
"32",10,24,2,"1","Session2","Scorer1",12
"33",10,24,2,"1","Session3","Scorer1",13
"34",10,24,2,"1","Session4","Scorer1",14
"35",10,24,2,"1","Session5","Scorer1",15
"36",11,22,1,"1","Session1","Scorer1",14
"37",11,22,1,"1","Session2","Scorer1",17
"38",11,22,1,"1","Session3","Scorer1",18
"39",11,22,1,"1","Session4","Scorer1",20
"40",11,22,1,"1","Session5","Scorer1",23
"41",12,23,1,"1","Session1","Scorer1",11
"42",12,23,1,"1","Session2","Scorer1",15
"43",12,23,1,"1","Session3","Scorer1",18
"44",12,23,1,"1","Session4","Scorer1",20
"45",12,23,1,"1","Session5","Scorer1",24
"46",13,22,1,"1","Session1","Scorer1",13
"47",13,22,1,"1","Session2","Scorer1",16
"48",13,22,1,"1","Session3","Scorer1",19
"49",13,22,1,"1","Session4","Scorer1",17
"50",13,22,1,"1","Session5","Scorer1",19
